,city,latitude,date,max temp,humidity,cloudiness,wind speed
250,chubbuck,42.93,01-12-2019 18:53:00,269.85,88.0,90.0,1.5
251,atambua,-9.11,01-12-2019 19:20:54,301.622,95.0,32.0,1.28
252,saint-louis,47.59,01-12-2019 18:50:00,278.15,86.0,90.0,7.7
253,ilulissat,69.22,01-12-2019 18:50:00,252.15,43.0,75.0,4.1
255,la ronge,55.1,01-12-2019 18:00:00,264.15,85.0,75.0,2.1
256,sao joao da barra,-21.64,01-12-2019 19:20:50,299.722,95.0,0.0,7.23
257,dickinson,46.88,01-12-2019 18:56:00,268.15,87.0,90.0,5.7
258,san ignacio,-36.8,01-12-2019 19:00:00,291.15,45.0,80.0,3.6
259,urubicha,-15.63,01-12-2019 19:20:56,298.097,88.0,68.0,1.13
260,malkapur,20.89,01-12-2019 19:20:57,284.622,79.0,0.0,1.11
261,rajapur,25.39,01-12-2019 19:20:57,288.197,96.0,92.0,2.68
262,camopi,3.17,01-12-2019 19:20:57,295.697,99.0,92.0,1.06
263,caravelas,-17.73,01-12-2019 19:20:57,300.097,100.0,48.0,5.41
264,gambela,8.25,01-12-2019 19:20:58,285.497,68.0,0.0,1.16
266,farkhor,37.49,01-12-2019 19:00:00,272.15,100.0,20.0,2.0
267,haren,53.17,01-12-2019 18:55:00,281.15,87.0,90.0,5.1
268,araouane,18.9,01-12-2019 19:20:58,285.622,27.0,0.0,4.73
270,tarnos,43.54,01-12-2019 18:30:00,284.15,93.0,90.0,1.5
271,bambous virieux,-20.34,01-12-2019 19:00:00,299.15,78.0,40.0,5.1
272,clovis,36.83,01-12-2019 18:56:00,289.25,51.0,20.0,2.6
273,voh,-20.95,01-12-2019 19:20:59,300.347,94.0,20.0,5.61
274,bethel,60.79,01-12-2019 18:56:00,252.55,77.0,75.0,9.3
275,port hardy,50.7,01-12-2019 18:00:00,282.15,81.0,90.0,8.2
277,waiouru,-39.48,01-12-2019 19:21:00,294.972,55.0,12.0,3.18
278,xai-xai,-25.04,01-12-2019 19:21:01,298.622,98.0,8.0,6.41
279,neijiang,29.59,01-12-2019 19:21:01,272.722,86.0,0.0,1.28
280,turbat,26.0,01-12-2019 19:21:01,283.047,42.0,12.0,3.13
281,el sauzal,-24.3,01-12-2019 19:00:00,294.15,77.0,75.0,1.11
282,aquiraz,-3.9,01-12-2019 19:21:02,298.522,85.0,32.0,2.01
283,poronaysk,49.22,01-12-2019 19:21:02,253.047,90.0,0.0,2.26
284,caraballeda,10.61,01-12-2019 19:00:00,298.15,73.0,20.0,1.0
285,chara,39.42,01-12-2019 17:50:00,277.15,68.0,20.0,1.13
286,samarai,-10.62,01-12-2019 19:14:49,300.697,100.0,36.0,5.11
287,sayyan,15.17,01-12-2019 19:21:03,272.047,67.0,0.0,0.76
288,pangnirtung,66.15,01-12-2019 19:21:03,237.797,54.0,12.0,2.11
289,la plata,-34.92,01-12-2019 19:00:00,297.15,64.0,0.0,5.1
291,guerrero negro,27.97,01-12-2019 19:21:04,290.472,73.0,68.0,2.01
292,kirkwall,58.98,01-12-2019 18:50:00,282.15,100.0,92.0,12.9
293,buriti bravo,-5.84,01-12-2019 19:21:04,295.472,97.0,32.0,0.93
294,tazovskiy,67.47,01-12-2019 19:14:24,250.747,64.0,80.0,9.23
296,castro,-42.48,01-12-2019 19:00:00,282.15,76.0,12.0,2.6
297,salalah,17.01,01-12-2019 18:50:00,296.15,31.0,0.0,4.1
299,concord,37.98,01-12-2019 19:00:00,289.25,74.0,90.0,3.6
