,city,latitude,date,max temp,humidity,cloudiness,wind speed
262,san fernando,-34.58,01-12-2019,66.2,45.0,48.0,5.82
264,sheboygan,43.75,01-12-2019,30.2,68.0,90.0,13.87
265,brownsville,25.91,01-12-2019,62.06,93.0,1.0,6.93
267,tripoli,37.51,01-12-2019,46.4,65.0,20.0,5.82
268,hambantota,6.12,01-12-2019,75.2,100.0,90.0,5.82
269,neiafu,-18.65,01-12-2019,82.4,78.0,75.0,10.29
270,javanrud,34.8,01-12-2019,26.6,79.0,20.0,1.97
271,tamworth,-31.09,01-12-2019,100.4,16.0,0.0,6.93
272,mandera,3.94,01-12-2019,64.26,67.0,0.0,5.39
273,shipitsyno,61.28,01-12-2019,15.03,79.0,88.0,10.25
274,ribnica,45.74,01-12-2019,41.0,86.0,0.0,1.12
275,xiaoweizhai,26.23,01-12-2019,40.59,100.0,92.0,3.53
276,talcahuano,-36.72,01-12-2019,59.0,87.0,0.0,5.82
277,kavieng,-2.57,01-12-2019,82.98,100.0,48.0,11.77
279,fondi,41.36,01-12-2019,28.4,92.0,0.0,2.82
280,ponta do sol,-20.63,01-12-2019,67.23,88.0,32.0,3.38
281,mareeba,-16.99,01-12-2019,86.0,62.0,40.0,14.99
282,comodoro rivadavia,-45.87,01-12-2019,64.4,25.0,0.0,10.29
283,salard,47.22,01-12-2019,30.2,92.0,92.0,11.41
284,ancud,-41.87,01-12-2019,42.8,93.0,48.0,5.82
285,yumen,40.29,01-12-2019,5.49,70.0,24.0,10.25
286,broken hill,-31.97,01-12-2019,89.6,18.0,0.0,12.75
287,kautokeino,69.01,01-12-2019,16.38,80.0,48.0,3.83
288,sitka,37.17,01-12-2019,28.26,91.0,20.0,9.31
289,vrangel,42.73,01-12-2019,31.59,100.0,0.0,0.69
290,bhawana,31.57,01-12-2019,48.42,95.0,76.0,4.09
291,reyes,-14.3,01-12-2019,69.75,97.0,56.0,2.37
292,maloy,1.0,01-12-2019,87.12,62.0,44.0,3.98
293,sabha,27.03,01-12-2019,25.38,78.0,0.0,5.77
294,aswan,24.09,01-12-2019,47.07,95.0,24.0,2.75
295,shellbrook,53.22,01-12-2019,3.2,91.0,20.0,3.36
297,west plains,36.73,01-12-2019,37.04,95.0,90.0,5.82
298,sivas,39.75,01-12-2019,24.8,85.0,75.0,9.17
299,mingshui,22.81,01-12-2019,59.85,98.0,92.0,4.27
300,santa marta,11.24,01-12-2019,82.4,61.0,20.0,9.17
302,redlands,34.06,01-12-2019,53.96,81.0,40.0,1.97
303,san luis,-33.3,01-12-2019,71.01,66.0,24.0,5.73
305,puerto el triunfo,13.27,01-12-2019,77.0,78.0,20.0,4.7
306,lompoc,34.64,01-12-2019,55.04,95.0,1.0,2.75
307,kaolack,14.14,01-12-2019,73.4,69.0,0.0,6.93
308,boyolangu,-8.09,01-12-2019,82.26,81.0,56.0,3.98
309,marzuq,14.4,01-12-2019,36.54,76.0,0.0,1.52
310,pangoa,-12.12,01-12-2019,63.99,97.0,48.0,1.97
311,coahuayana,18.62,01-12-2019,62.46,78.0,12.0,2.48
312,himare,40.1,01-12-2019,33.8,100.0,0.0,2.24
313,wattegama,7.35,01-12-2019,73.71,90.0,24.0,4.05
314,port keats,-14.25,01-12-2019,89.64,95.0,24.0,2.98
315,port elizabeth,39.31,01-12-2019,33.08,74.0,90.0,3.36
316,auki,12.18,01-12-2019,59.94,39.0,0.0,7.4
317,matara,-13.74,01-12-2019,45.27,95.0,92.0,1.74
318,bathsheba,13.22,01-12-2019,77.0,69.0,40.0,12.75
319,yuza,39.05,01-12-2019,41.0,52.0,75.0,3.36
320,omboue,-1.57,01-12-2019,75.24,100.0,92.0,8.86
321,cordoba,5.59,01-12-2019,51.12,83.0,32.0,0.96
322,clyde river,70.47,01-12-2019,-34.61,73.0,1.0,5.82
323,sena madureira,-9.07,01-12-2019,71.55,98.0,12.0,2.19
324,kloulklubed,7.04,01-12-2019,82.4,78.0,75.0,16.11
325,seidu,8.32,01-12-2019,64.62,62.0,8.0,2.53
326,leh,34.16,01-12-2019,-7.66,64.0,64.0,1.7
327,namibe,-15.19,01-12-2019,72.63,100.0,0.0,8.75
328,port lincoln,-34.72,01-12-2019,73.98,69.0,0.0,14.61
329,lagoa,37.14,01-12-2019,44.6,65.0,0.0,9.17
331,svetlogorsk,53.14,01-12-2019,21.2,92.0,90.0,17.9
332,ziro,27.54,01-12-2019,59.0,77.0,0.0,6.93
333,bilibino,68.06,01-12-2019,-27.37,0.0,20.0,2.3
335,nouadhibou,20.93,01-12-2019,58.68,85.0,0.0,6.29
336,moussoro,13.64,01-12-2019,61.02,33.0,0.0,11.59
337,coracora,-15.02,01-12-2019,36.99,100.0,56.0,1.74
338,desdunes,19.3,01-12-2019,69.93,98.0,24.0,5.32
339,martapura,-3.41,01-12-2019,82.4,78.0,40.0,3.36
340,macaubas,-13.02,01-12-2019,69.39,81.0,76.0,6.78
341,berdigestyakh,62.1,01-12-2019,-23.77,35.0,8.0,5.77
342,georgetown,6.8,01-12-2019,78.8,83.0,75.0,13.87
343,kurmanayevka,52.51,01-12-2019,26.64,91.0,88.0,11.92
344,saint-georges,46.12,01-12-2019,2.61,56.0,0.0,5.77
345,bhalki,18.04,01-12-2019,66.51,71.0,0.0,10.09
346,totness,33.74,01-12-2019,43.52,51.0,90.0,5.82
347,calvinia,-31.47,01-12-2019,58.23,95.0,92.0,5.06
348,pilar,-34.46,01-12-2019,77.0,73.0,0.0,6.93
349,grand gaube,-20.01,01-12-2019,80.6,78.0,40.0,11.41
350,taywarah,33.35,01-12-2019,-7.21,46.0,0.0,2.04
351,mitzic,0.78,01-12-2019,70.29,99.0,76.0,2.71
352,atascadero,35.49,01-12-2019,55.04,82.0,40.0,4.7
353,samfya,-11.37,01-12-2019,65.88,100.0,56.0,7.85
354,tilichiki,60.47,01-12-2019,-9.28,67.0,0.0,2.86
355,coper,5.48,01-12-2019,51.12,83.0,32.0,0.96
356,burgeo,47.61,01-12-2019,27.72,100.0,76.0,21.94
357,atasu,48.68,01-12-2019,1.98,57.0,8.0,6.29
358,kenora,49.76,01-12-2019,21.2,85.0,90.0,12.75
359,tromso,69.65,01-12-2019,26.6,92.0,90.0,9.17
360,leshukonskoye,64.9,01-12-2019,22.59,80.0,80.0,8.9
361,mahanoro,-19.9,01-12-2019,74.88,97.0,68.0,2.53
362,husavik,50.56,01-12-2019,18.63,93.0,80.0,10.65
363,voh,-20.95,01-12-2019,80.28,96.0,36.0,15.35
364,robertsport,6.75,01-12-2019,83.16,100.0,68.0,9.86
365,staicele,57.83,01-12-2019,24.3,76.0,80.0,6.62
366,edgewater,28.99,01-12-2019,62.06,93.0,1.0,9.42
367,gladstone,-23.84,01-12-2019,87.8,48.0,75.0,18.34
368,el dorado,6.71,01-12-2019,68.49,98.0,92.0,2.26
369,ibirama,-27.05,01-12-2019,70.38,99.0,92.0,3.49
370,belmonte,40.36,01-12-2019,28.17,81.0,0.0,5.88
371,staritsa,56.51,01-12-2019,23.04,89.0,80.0,8.63
372,port hardy,50.7,01-12-2019,46.4,87.0,90.0,20.8
373,camaqua,-30.85,01-12-2019,73.8,96.0,68.0,13.27
374,cherskiy,68.75,01-12-2019,-17.65,52.0,44.0,1.81
375,taksimo,56.36,01-12-2019,-19.63,51.0,32.0,0.51
377,beringovskiy,63.05,01-12-2019,-7.39,92.0,32.0,26.42
378,jijiga,9.35,01-12-2019,33.84,79.0,0.0,2.04
379,nakuru,-0.28,01-12-2019,43.65,86.0,0.0,2.19
380,malanje,-9.54,01-12-2019,66.51,78.0,88.0,7.52
381,tokat,40.33,01-12-2019,24.8,85.0,75.0,9.17
382,pelym,61.01,01-12-2019,10.44,79.0,24.0,6.62
383,ahipara,-35.17,01-12-2019,73.35,69.0,68.0,10.36
384,mecca,21.43,01-12-2019,56.52,79.0,0.0,1.97
385,roald,62.58,01-12-2019,41.0,93.0,92.0,18.34
386,nanning,22.83,01-12-2019,55.4,100.0,90.0,4.47
387,longyearbyen,78.22,01-12-2019,6.8,65.0,20.0,13.87
388,mehamn,71.03,01-12-2019,30.33,87.0,80.0,11.1
389,am timan,11.04,01-12-2019,63.18,38.0,8.0,5.39
391,lamar,38.09,01-12-2019,26.96,88.0,1.0,3.36
392,pandan,11.72,01-12-2019,77.22,100.0,92.0,17.63
393,prince rupert,54.32,01-12-2019,44.6,93.0,90.0,4.7
394,wellington,-41.29,01-12-2019,69.8,64.0,92.0,21.92
395,krutinka,56.01,01-12-2019,9.99,82.0,92.0,16.35
396,valparaiso,41.47,01-12-2019,30.92,74.0,90.0,18.34
397,kodiak,39.95,01-12-2019,30.2,95.0,90.0,13.87
398,quevedo,-1.02,01-12-2019,59.94,100.0,88.0,2.3
399,lachi,33.38,01-12-2019,29.16,75.0,12.0,2.26
400,humaita,-24.93,01-12-2019,68.0,88.0,75.0,5.82
401,esna,45.2,01-12-2019,7.11,86.0,12.0,3.31
402,abbeville,50.11,01-12-2019,50.0,81.0,90.0,10.29
403,vila velha,-3.71,01-12-2019,80.6,83.0,40.0,3.36
404,broome,52.47,01-12-2019,51.8,81.0,80.0,19.46
405,tucurui,-3.77,01-12-2019,74.16,95.0,76.0,2.04
406,jiangkou,30.7,01-12-2019,44.64,93.0,24.0,5.1
407,thalheim,49.46,01-12-2019,39.2,100.0,90.0,9.17
409,bonthe,7.53,01-12-2019,79.92,83.0,44.0,5.55
411,quesnel,52.98,01-12-2019,33.8,86.0,90.0,2.24
412,taoudenni,22.68,01-12-2019,45.72,28.0,0.0,13.6
413,port moresby,-9.47,01-12-2019,84.2,74.0,40.0,17.22
414,caravelas,-17.73,01-12-2019,80.19,100.0,76.0,12.33
415,yulara,-25.24,01-12-2019,105.8,9.0,0.0,17.22
416,charters towers,-20.07,01-12-2019,85.95,68.0,20.0,9.91
417,yerbogachen,61.28,01-12-2019,-19.27,55.0,8.0,4.5
418,san juan,18.47,01-12-2019,77.0,73.0,40.0,3.36
419,curaca,-8.99,01-12-2019,80.46,51.0,36.0,7.78
420,peace river,56.23,01-12-2019,24.8,92.0,40.0,2.48
